2021-09-13 17:07:33,819 - INFO     - client.py - Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7778 
2021-09-13 17:07:33,819 - DEBUG    - client.py - Сформировано presence сообщение для пользователя Guest 
2021-09-13 17:07:33,850 - DEBUG    - client.py - Вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Ver.1.Вызов из функции ).Ver.2.Вызов из функции main. 
2021-09-13 17:07:33,866 - DEBUG    - client.py - Разбор сообщения от сервера: {'response': 200} 
2021-09-13 17:07:33,866 - DEBUG    - client.py - Вызвана функция process_ans c параметрами ({'response': 200},), {}. Вызов из модуля __main__. Ver.1.Вызов из функции ).Ver.2.Вызов из функции main. 
2021-09-13 17:07:33,866 - INFO     - client.py - Принят ответ от сервера 200 : OK 
2021-09-13 17:07:33,866 - DEBUG    - client.py - Вызвана функция main c параметрами (), {}. Вызов из модуля __main__. Ver.1.Вызов из функции ).Ver.2.Вызов из функции <module>. 
2021-09-13 17:13:36,503 - INFO     - client.py - Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7778 
2021-09-13 17:13:36,503 - DEBUG    - client.py - Сформировано presence сообщение для пользователя Guest 
2021-09-13 17:13:36,541 - DEBUG    - client.py - Вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-13 17:13:36,557 - DEBUG    - client.py - Разбор сообщения от сервера: {'response': 200} 
2021-09-13 17:13:36,557 - DEBUG    - client.py - Вызвана функция process_ans c параметрами ({'response': 200},), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-13 17:13:36,557 - INFO     - client.py - Принят ответ от сервера 200 : OK 
2021-09-13 17:13:36,557 - DEBUG    - client.py - Вызвана функция main c параметрами (), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции <module>. 
2021-09-13 17:41:19,762 - INFO     - client.py - Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7778 
2021-09-13 17:41:19,762 - DEBUG    - client.py - Сформировано presence сообщение для пользователя Guest 
2021-09-13 17:41:19,777 - DEBUG    - client.py - Вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-13 17:41:19,793 - DEBUG    - client.py - Разбор сообщения от сервера: {'response': 200} 
2021-09-13 17:41:19,809 - DEBUG    - client.py - Вызвана функция process_ans c параметрами ({'response': 200},), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-13 17:41:19,809 - INFO     - client.py - Принят ответ от сервера 200 : OK 
2021-09-13 17:41:19,809 - DEBUG    - client.py - Вызвана функция main c параметрами (), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции <module>. 
2021-09-13 17:41:20,735 - INFO     - client.py - Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7778 
2021-09-13 17:41:20,735 - DEBUG    - client.py - Сформировано presence сообщение для пользователя Guest 
2021-09-13 17:41:20,779 - DEBUG    - client.py - Вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-13 17:41:20,779 - DEBUG    - client.py - Разбор сообщения от сервера: {'response': 200} 
2021-09-13 17:41:20,779 - DEBUG    - client.py - Вызвана функция process_ans c параметрами ({'response': 200},), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-13 17:41:20,779 - INFO     - client.py - Принят ответ от сервера 200 : OK 
2021-09-13 17:41:20,779 - DEBUG    - client.py - Вызвана функция main c параметрами (), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции <module>. 
2021-09-13 17:41:21,982 - INFO     - client.py - Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7778 
2021-09-13 17:41:21,982 - DEBUG    - client.py - Сформировано presence сообщение для пользователя Guest 
2021-09-13 17:41:22,013 - DEBUG    - client.py - Вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-13 17:41:22,013 - DEBUG    - client.py - Разбор сообщения от сервера: {'response': 200} 
2021-09-13 17:41:22,013 - DEBUG    - client.py - Вызвана функция process_ans c параметрами ({'response': 200},), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-13 17:41:22,013 - INFO     - client.py - Принят ответ от сервера 200 : OK 
2021-09-13 17:41:22,013 - DEBUG    - client.py - Вызвана функция main c параметрами (), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции <module>. 
