2021-09-15 20:12:51,769 - INFO     - server.py - Клиент ('127.0.0.1', 57055) отключился от сервера. 
2021-09-15 20:14:35,109 - DEBUG    - server.py - Вызвана функция arg_parser c параметрами (), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-15 20:14:35,109 - INFO     - server.py - Запущен сервер, порт для подключений: 7778, адрес с которого принимаются подключения: . 
2021-09-15 20:14:35,140 - INFO     - server.py - Установлено соедение с ПК ('127.0.0.1', 49636) 
2021-09-15 20:14:35,176 - DEBUG    - server.py - Разбор сообщения от клиента : {'action': 'presence', 'time': 1631718875.1404808, 'user': {'account_name': 'Guest'}} 
2021-09-15 20:14:35,176 - DEBUG    - server.py - Вызвана функция process_client_msg c параметрами ({'action': 'presence', 'time': 1631718875.1404808, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7778), raddr=('127.0.0.1', 49636)>), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-15 20:14:35,176 - INFO     - server.py - Установлено соедение с ПК ('127.0.0.1', 49637) 
2021-09-15 20:14:35,176 - DEBUG    - server.py - Разбор сообщения от клиента : {'action': 'presence', 'time': 1631718875.1404808, 'user': {'account_name': 'Guest'}} 
2021-09-15 20:14:35,176 - DEBUG    - server.py - Вызвана функция process_client_msg c параметрами ({'action': 'presence', 'time': 1631718875.1404808, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=560, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7778), raddr=('127.0.0.1', 49637)>), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-15 20:14:35,176 - INFO     - server.py - Установлено соедение с ПК ('127.0.0.1', 49638) 
2021-09-15 20:14:35,176 - DEBUG    - server.py - Разбор сообщения от клиента : {'action': 'presence', 'time': 1631718875.1765678, 'user': {'account_name': 'Guest'}} 
2021-09-15 20:14:35,176 - DEBUG    - server.py - Вызвана функция process_client_msg c параметрами ({'action': 'presence', 'time': 1631718875.1765678, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=356, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7778), raddr=('127.0.0.1', 49638)>), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-15 20:14:59,306 - DEBUG    - server.py - Разбор сообщения от клиента : {'action': 'message', 'time': 1631718899.1286263, 'account_name': 'Guest', 'mess_text': 'Hi gays'} 
2021-09-15 20:14:59,306 - DEBUG    - server.py - Вызвана функция process_client_msg c параметрами ({'action': 'message', 'time': 1631718899.1286263, 'account_name': 'Guest', 'mess_text': 'Hi gays'}, [('Guest', 'Hi gays')], <socket.socket fd=560, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7778), raddr=('127.0.0.1', 49637)>), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-15 20:15:14,543 - DEBUG    - server.py - Разбор сообщения от клиента : {'action': 'message', 'time': 1631718914.449424, 'account_name': 'Guest', 'mess_text': 'Как дела?'} 
